Date,Yearly Mean Total Sunspot Number,Yearly Mean Standard Deviation,Number of Observations,Definitive/Provisional Indicator
1700-12-31,8.30,NaN,NaN,1.00
1701-12-31,18.30,NaN,NaN,1.00
1702-12-31,26.70,NaN,NaN,1.00
1703-12-31,38.30,NaN,NaN,1.00
1704-12-31,60.00,NaN,NaN,1.00
1705-12-31,96.70,NaN,NaN,1.00
1706-12-31,48.30,NaN,NaN,1.00
1707-12-31,33.30,NaN,NaN,1.00
1708-12-31,16.70,NaN,NaN,1.00
1709-12-31,13.30,NaN,NaN,1.00
1710-12-31,5.00,NaN,NaN,1.00
1711-12-31,0.00,NaN,NaN,1.00
1712-12-31,0.00,NaN,NaN,1.00
1713-12-31,3.30,NaN,NaN,1.00
1714-12-31,18.30,NaN,NaN,1.00
1715-12-31,45.00,NaN,NaN,1.00
1716-12-31,78.30,NaN,NaN,1.00
1717-12-31,105.00,NaN,NaN,1.00
1718-12-31,100.00,NaN,NaN,1.00
1719-12-31,65.00,NaN,NaN,1.00
1720-12-31,46.70,NaN,NaN,1.00
1721-12-31,43.30,NaN,NaN,1.00
1722-12-31,36.70,NaN,NaN,1.00
1723-12-31,18.30,NaN,NaN,1.00
1724-12-31,35.00,NaN,NaN,1.00
1725-12-31,66.70,NaN,NaN,1.00
1726-12-31,130.00,NaN,NaN,1.00
1727-12-31,203.30,NaN,NaN,1.00
1728-12-31,171.70,NaN,NaN,1.00
1729-12-31,121.70,NaN,NaN,1.00
1730-12-31,78.30,NaN,NaN,1.00
1731-12-31,58.30,NaN,NaN,1.00
1732-12-31,18.30,NaN,NaN,1.00
1733-12-31,8.30,NaN,NaN,1.00
1734-12-31,26.70,NaN,NaN,1.00
1735-12-31,56.70,NaN,NaN,1.00
1736-12-31,116.70,NaN,NaN,1.00
1737-12-31,135.00,NaN,NaN,1.00
1738-12-31,185.00,NaN,NaN,1.00
1739-12-31,168.30,NaN,NaN,1.00
1740-12-31,121.70,NaN,NaN,1.00
1741-12-31,66.70,NaN,NaN,1.00
1742-12-31,33.30,NaN,NaN,1.00
1743-12-31,26.70,NaN,NaN,1.00
1744-12-31,8.30,NaN,NaN,1.00
1745-12-31,18.30,NaN,NaN,1.00
1746-12-31,36.70,NaN,NaN,1.00
1747-12-31,66.70,NaN,NaN,1.00
1748-12-31,100.00,NaN,NaN,1.00
1749-12-31,134.80,NaN,NaN,1.00
1750-12-31,139.00,NaN,NaN,1.00
1751-12-31,79.50,NaN,NaN,1.00
1752-12-31,79.70,NaN,NaN,1.00
1753-12-31,51.20,NaN,NaN,1.00
1754-12-31,20.30,NaN,NaN,1.00
1755-12-31,16.00,NaN,NaN,1.00
1756-12-31,17.00,NaN,NaN,1.00
1757-12-31,54.00,NaN,NaN,1.00
1758-12-31,79.30,NaN,NaN,1.00
1759-12-31,90.00,NaN,NaN,1.00
1760-12-31,104.80,NaN,NaN,1.00
1761-12-31,143.20,NaN,NaN,1.00
1762-12-31,102.00,NaN,NaN,1.00
1763-12-31,75.20,NaN,NaN,1.00
1764-12-31,60.70,NaN,NaN,1.00
1765-12-31,34.80,NaN,NaN,1.00
1766-12-31,19.00,NaN,NaN,1.00
1767-12-31,63.00,NaN,NaN,1.00
1768-12-31,116.30,NaN,NaN,1.00
1769-12-31,176.80,NaN,NaN,1.00
1770-12-31,168.00,NaN,NaN,1.00
1771-12-31,136.00,NaN,NaN,1.00
1772-12-31,110.80,NaN,NaN,1.00
1773-12-31,58.00,NaN,NaN,1.00
1774-12-31,51.00,NaN,NaN,1.00
1775-12-31,11.70,NaN,NaN,1.00
1776-12-31,33.00,NaN,NaN,1.00
1777-12-31,154.20,NaN,NaN,1.00
1778-12-31,257.30,NaN,NaN,1.00
1779-12-31,209.80,NaN,NaN,1.00
1780-12-31,141.30,NaN,NaN,1.00
1781-12-31,113.50,NaN,NaN,1.00
1782-12-31,64.20,NaN,NaN,1.00
1783-12-31,38.00,NaN,NaN,1.00
1784-12-31,17.00,NaN,NaN,1.00
1785-12-31,40.20,NaN,NaN,1.00
1786-12-31,138.20,NaN,NaN,1.00
1787-12-31,220.00,NaN,NaN,1.00
1788-12-31,218.20,NaN,NaN,1.00
1789-12-31,196.80,NaN,NaN,1.00
1790-12-31,149.80,NaN,NaN,1.00
1791-12-31,111.00,NaN,NaN,1.00
1792-12-31,100.00,NaN,NaN,1.00
1793-12-31,78.20,NaN,NaN,1.00
1794-12-31,68.30,NaN,NaN,1.00
1795-12-31,35.50,NaN,NaN,1.00
1796-12-31,26.70,NaN,NaN,1.00
1797-12-31,10.70,NaN,NaN,1.00
1798-12-31,6.80,NaN,NaN,1.00
1799-12-31,11.30,NaN,NaN,1.00
1800-12-31,24.20,NaN,NaN,1.00
1801-12-31,56.70,NaN,NaN,1.00
1802-12-31,75.00,NaN,NaN,1.00
1803-12-31,71.80,NaN,NaN,1.00
1804-12-31,79.20,NaN,NaN,1.00
1805-12-31,70.30,NaN,NaN,1.00
1806-12-31,46.80,NaN,NaN,1.00
1807-12-31,16.80,NaN,NaN,1.00
1808-12-31,13.50,NaN,NaN,1.00
1809-12-31,4.20,NaN,NaN,1.00
1810-12-31,0.00,NaN,NaN,1.00
1811-12-31,2.30,NaN,NaN,1.00
1812-12-31,8.30,NaN,NaN,1.00
1813-12-31,20.30,NaN,NaN,1.00
1814-12-31,23.20,NaN,NaN,1.00
1815-12-31,59.00,NaN,NaN,1.00
1816-12-31,76.30,NaN,NaN,1.00
1817-12-31,68.30,NaN,NaN,1.00
1818-12-31,52.90,9.20,213.00,1.00
1819-12-31,38.50,7.90,249.00,1.00
1820-12-31,24.20,6.40,224.00,1.00
1821-12-31,9.20,4.20,304.00,1.00
1822-12-31,6.30,3.70,353.00,1.00
1823-12-31,2.20,2.70,302.00,1.00
1824-12-31,11.40,4.60,194.00,1.00
1825-12-31,28.20,6.80,310.00,1.00
1826-12-31,59.90,9.80,320.00,1.00
1827-12-31,83.00,11.60,321.00,1.00
1828-12-31,108.50,13.20,301.00,1.00
1829-12-31,115.20,13.60,291.00,1.00
1830-12-31,117.40,13.70,268.00,1.00
1831-12-31,80.80,11.40,285.00,1.00
1832-12-31,44.30,8.50,277.00,1.00
1833-12-31,13.40,4.90,292.00,1.00
1834-12-31,19.50,5.80,260.00,1.00
1835-12-31,85.80,11.80,173.00,1.00
1836-12-31,192.70,17.60,166.00,1.00
1837-12-31,227.30,19.10,150.00,1.00
1838-12-31,168.70,16.50,201.00,1.00
1839-12-31,143.00,15.10,194.00,1.00
1840-12-31,105.50,13.00,248.00,1.00
1841-12-31,63.30,10.10,277.00,1.00
1842-12-31,40.30,8.10,311.00,1.00
1843-12-31,18.10,5.60,320.00,1.00
1844-12-31,25.10,6.50,294.00,1.00
1845-12-31,65.80,10.30,265.00,1.00
1846-12-31,102.70,12.80,247.00,1.00
1847-12-31,166.30,16.30,232.00,1.00
1848-12-31,208.30,18.30,234.00,1.00
1849-12-31,182.50,16.60,365.00,1.00
1850-12-31,126.30,13.70,365.00,1.00
1851-12-31,122.00,13.40,365.00,1.00
1852-12-31,102.70,12.30,366.00,1.00
1853-12-31,74.10,10.40,365.00,1.00
1854-12-31,39.00,7.50,365.00,1.00
1855-12-31,12.70,4.30,365.00,1.00
1856-12-31,8.20,3.40,366.00,1.00
1857-12-31,43.40,8.00,365.00,1.00
1858-12-31,104.40,12.40,365.00,1.00
1859-12-31,178.30,16.30,365.00,1.00
1860-12-31,182.20,16.50,366.00,1.00
1861-12-31,146.60,14.80,365.00,1.00
1862-12-31,112.10,12.90,365.00,1.00
1863-12-31,83.50,11.10,365.00,1.00
1864-12-31,89.20,11.50,366.00,1.00
1865-12-31,57.80,9.20,365.00,1.00
1866-12-31,30.70,6.70,365.00,1.00
1867-12-31,13.90,4.50,365.00,1.00
1868-12-31,62.80,8.90,366.00,1.00
1869-12-31,123.60,12.50,365.00,1.00
1870-12-31,232.00,17.10,365.00,1.00
1871-12-31,185.30,15.30,365.00,1.00
1872-12-31,169.20,14.60,366.00,1.00
1873-12-31,110.10,11.80,365.00,1.00
1874-12-31,74.50,9.70,365.00,1.00
1875-12-31,28.30,6.10,365.00,1.00
1876-12-31,18.90,5.10,366.00,1.00
1877-12-31,20.70,5.30,365.00,1.00
1878-12-31,5.70,3.20,365.00,1.00
1879-12-31,10.00,3.90,365.00,1.00
1880-12-31,53.70,8.30,366.00,1.00
1881-12-31,90.50,10.70,365.00,1.00
1882-12-31,99.00,11.20,365.00,1.00
1883-12-31,106.10,11.60,365.00,1.00
1884-12-31,105.80,11.60,366.00,1.00
1885-12-31,86.30,10.50,365.00,1.00
1886-12-31,42.40,7.40,365.00,1.00
1887-12-31,21.80,5.40,365.00,1.00
