Country,CountryID,Continent,Adolescent fertility rate (%),Adult literacy rate (%),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (%),Net primary school enrolment ratio male (%),Population (in thousands) total
Afghanistan,1,1,151.0,28.0,,,,26088.0
Albania,2,2,27.0,98.7,6000.0,93.0,94.0,3172.0
Algeria,3,3,6.0,69.9,5940.0,94.0,96.0,33351.0
Andorra,4,2,,,,83.0,83.0,74.0
Angola,5,3,146.0,67.4,3890.0,49.0,51.0,16557.0
Antigua and Barbuda,6,4,,,15130.0,,,84.0
Argentina,7,5,62.0,97.2,11670.0,98.0,99.0,39134.0
Armenia,8,2,30.0,99.4,4950.0,84.0,80.0,3010.0
Australia,9,6,16.0,,33940.0,97.0,96.0,20530.0
Austria,10,2,14.0,,36040.0,98.0,97.0,8327.0
Azerbaijan,11,2,31.0,98.8,5430.0,83.0,86.0,8406.0
Bahamas,12,4,46.0,,,89.0,87.0,327.0
Bahrain,13,1,14.0,86.5,34310.0,98.0,98.0,739.0
Bangladesh,14,7,135.0,47.5,1230.0,90.0,87.0,155991.0
Barbados,15,4,51.0,,15150.0,96.0,97.0,293.0
Belarus,16,2,22.0,99.6,9700.0,88.0,90.0,9742.0
Belgium,17,2,5.0,,33860.0,97.0,97.0,10430.0
Belize,18,5,90.0,70.3,7080.0,97.0,97.0,282.0
Benin,19,3,108.0,34.7,1250.0,73.0,87.0,8760.0
Bermuda,20,4,,,,,,
Bhutan,21,7,62.0,,4000.0,79.0,79.0,649.0
Bolivia,22,5,97.0,86.7,3810.0,95.0,94.0,9354.0
Bosnia and Herzegovina,23,2,25.0,96.7,6780.0,,,3926.0
Botswana,24,3,51.0,81.2,11730.0,85.0,83.0,1858.0
Brazil,25,5,71.0,88.6,8700.0,95.0,93.0,189323.0
Brunei Darussalam,26,6,31.0,92.7,49900.0,94.0,94.0,382.0
Bulgaria,27,2,40.0,98.2,10270.0,92.0,93.0,7693.0
Burkina Faso,28,3,131.0,23.6,1130.0,42.0,52.0,14359.0
Burundi,29,3,30.0,59.3,320.0,73.0,76.0,8173.0
Cambodia,30,7,52.0,73.6,1550.0,89.0,91.0,14197.0
Cameroon,31,3,141.0,67.9,2060.0,65.0,74.0,18175.0
Canada,32,4,14.0,,36280.0,100.0,99.0,32577.0
Cape Verde,33,1,104.0,81.2,2590.0,87.0,88.0,519.0
Central African Republic,34,3,157.0,48.6,690.0,38.0,53.0,4265.0
Chad,35,3,193.0,25.7,1170.0,49.0,71.0,10468.0
Chile,36,5,49.0,95.7,11300.0,89.0,90.0,16465.0
China,37,7,3.0,90.9,4660.0,96.0,100.0,1328474.0
Colombia,38,5,92.0,92.8,6130.0,88.0,89.0,45558.0
Comoros,39,3,66.0,,1140.0,50.0,60.0,818.0
"Congo, Dem. Rep.",40,3,125.0,67.2,270.0,47.0,60.0,
"Congo, Rep.",41,3,132.0,84.4,2420.0,52.0,58.0,
Cook Islands,42,6,,,,75.0,73.0,14.0
Costa Rica,43,5,77.0,94.9,9220.0,88.0,87.0,4399.0
Cote d'Ivoire,44,3,132.0,48.7,1580.0,49.0,61.0,18914.0
Croatia,45,2,14.0,98.1,13850.0,90.0,91.0,4556.0
Cuba,46,5,47.0,99.8,,97.0,96.0,11267.0
Cyprus,47,2,5.0,96.8,25060.0,99.0,99.0,846.0
Czech Republic,48,2,11.0,,20920.0,94.0,91.0,10189.0
Denmark,49,2,6.0,,36190.0,96.0,95.0,5430.0
Djibouti,50,1,27.0,,2180.0,34.0,42.0,819.0
Dominica,51,5,,,7870.0,79.0,75.0,68.0
Dominican Republic,52,5,118.0,87.0,5550.0,78.0,76.0,9615.0
Ecuador,53,5,100.0,91.0,6810.0,97.0,96.0,13202.0
Egypt,54,1,48.0,71.4,4940.0,94.0,98.0,74166.0
El Salvador,55,5,104.0,74.1,5610.0,94.0,94.0,6762.0
Equatorial Guinea,56,3,128.0,87.0,16620.0,83.0,91.0,496.0
Eritrea,57,3,85.0,,680.0,43.0,50.0,4692.0
Estonia,58,2,21.0,99.8,18090.0,94.0,95.0,1340.0
Ethiopia,59,3,109.0,35.9,630.0,68.0,74.0,81021.0
Fiji,60,6,35.0,,4450.0,91.0,91.0,833.0
Finland,61,2,11.0,,33170.0,97.0,97.0,5261.0
France,62,2,8.0,,32240.0,99.0,98.0,61330.0
French Polynesia,63,6,,,,,,
Gabon,64,3,144.0,83.8,11180.0,88.0,88.0,1311.0
Gambia,65,3,167.0,,1110.0,64.0,59.0,1663.0
Georgia,66,2,47.0,,3880.0,91.0,88.0,4433.0
Germany,67,2,11.0,,32680.0,98.0,98.0,82641.0
Ghana,68,3,74.0,57.9,1240.0,71.0,73.0,23008.0
Greece,69,2,11.0,96.0,30870.0,99.0,100.0,11123.0
Grenada,70,5,53.0,,8770.0,83.0,84.0,106.0
Guatemala,71,5,120.0,69.1,5120.0,92.0,96.0,13029.0
Guinea,72,3,153.0,29.5,1130.0,66.0,77.0,9181.0
Guinea-Bissau,73,3,,,460.0,37.0,53.0,1646.0
Guyana,74,5,90.0,,3410.0,89.0,89.0,739.0
Haiti,75,5,69.0,,1070.0,22.0,21.0,9446.0
Honduras,76,5,108.0,80.0,3420.0,97.0,96.0,6969.0
"Hong Kong, China",77,6,,,,,,
Hungary,78,2,21.0,,16970.0,88.0,89.0,10058.0
Iceland,79,2,16.0,,33740.0,97.0,98.0,298.0
India,80,7,97.0,61.0,2460.0,87.0,90.0,1151751.0
Indonesia,81,6,54.0,90.4,3310.0,94.0,97.0,228864.0
Iran (Islamic Republic of),82,1,35.0,82.4,9800.0,100.0,91.0,70270.0
Iraq,83,1,17.0,74.1,,82.0,95.0,28506.0
Ireland,84,2,19.0,,34730.0,95.0,94.0,4221.0
Israel,85,1,15.0,,23840.0,97.0,96.0,6810.0
Italy,86,2,7.0,98.4,28970.0,98.0,99.0,58779.0
Jamaica,87,5,65.0,79.9,7050.0,90.0,90.0,2699.0
Japan,88,6,6.0,,32840.0,100.0,100.0,127953.0
Jordan,89,1,30.0,91.1,4820.0,90.0,89.0,5729.0
Kazakhstan,90,2,26.0,99.5,8700.0,90.0,90.0,15314.0
Kenya,91,3,116.0,73.6,1470.0,76.0,75.0,36553.0
Kiribati,92,6,,,6230.0,98.0,96.0,94.0
"Korea, Dem. Rep.",93,6,0.0,,,,,
"Korea, Rep.",94,6,2.0,,22990.0,93.0,100.0,
Kuwait,95,1,15.0,93.3,48310.0,83.0,84.0,2779.0
Kyrgyzstan,96,2,27.0,98.7,1790.0,85.0,86.0,5259.0
Lao People's Democratic Republic,97,6,110.0,68.7,1740.0,81.0,86.0,5759.0
Latvia,98,2,16.0,99.7,14840.0,92.0,89.0,2289.0
Lebanon,99,3,18.0,,9600.0,82.0,82.0,4055.0
Lesotho,100,3,98.0,82.2,1810.0,74.0,71.0,1995.0
Liberia,101,3,,60.0,260.0,39.0,40.0,3579.0
Libyan Arab Jamahiriya,102,1,7.0,85.0,11630.0,91.0,95.0,6039.0
Lithuania,103,2,19.0,99.6,14550.0,89.0,90.0,3408.0
Luxembourg,104,2,11.0,,60870.0,98.0,96.0,461.0
"Macao, China",105,6,,,,,,
