CRIM,ZN,INDUS,NOX
2.3004,0.0,19.58,0.605
13.3598,0.0,18.1,0.693
0.12744,0.0,6.91,0.44799999999999995
0.15875999999999998,0.0,10.81,0.413
0.03768,80.0,1.52,0.40399999999999997
0.03705,20.0,3.33,0.4429
0.07244,60.0,1.69,0.41100000000000003
0.1,34.0,6.09,0.433
4.812130000000001,0.0,18.1,0.713
0.15086,0.0,27.74,0.609
38.3518,0.0,18.1,0.693
0.05479,33.0,2.18,0.47200000000000003
4.541919999999999,0.0,18.1,0.77
0.7857,20.0,3.97,0.647
3.5350099999999998,0.0,19.58,0.871
1.22358,0.0,19.58,0.605
0.08826,0.0,10.81,0.413
3.56868,0.0,18.1,0.58
3.4742800000000003,0.0,18.1,0.718
0.05735,0.0,4.49,0.449
0.04981,21.0,5.64,0.439
0.17505,0.0,5.96,0.499
7.75223,0.0,18.1,0.713
8.26725,0.0,18.1,0.6679999999999999
5.66637,0.0,18.1,0.74
0.17331,0.0,9.69,0.585
0.14476,0.0,10.01,0.547
1.27346,0.0,19.58,0.605
6.39312,0.0,18.1,0.584
8.792119999999999,0.0,18.1,0.584
0.0566,0.0,3.41,0.489
0.03932,0.0,3.41,0.489
8.64476,0.0,18.1,0.693
0.46296000000000004,0.0,6.2,0.504
2.924,0.0,19.58,0.605
15.288,0.0,18.1,0.6709999999999999
1.46336,0.0,19.58,0.605
0.29819,0.0,6.2,0.504
9.329089999999999,0.0,18.1,0.713
0.32264,0.0,21.89,0.624
0.030410000000000003,0.0,5.19,0.515
41.5292,0.0,18.1,0.693
0.55778,0.0,21.89,0.624
0.34006,0.0,21.89,0.624
1.8002799999999999,0.0,19.58,0.605
0.38214000000000004,0.0,6.2,0.504
0.09744,0.0,5.96,0.499
9.82349,0.0,18.1,0.6709999999999999
11.9511,0.0,18.1,0.659
0.08387,0.0,12.83,0.43700000000000006
1.19294,0.0,21.89,0.624
1.49632,0.0,19.58,0.871
22.0511,0.0,18.1,0.74
0.09849,0.0,25.65,0.581
7.9924800000000005,0.0,18.1,0.7
5.8240099999999995,0.0,18.1,0.532
0.19072999999999998,22.0,5.86,0.431
1.25179,0.0,8.14,0.5379999999999999
0.0795,60.0,1.69,0.41100000000000003
0.15098,0.0,10.01,0.547
2.36862,0.0,19.58,0.871
4.64689,0.0,18.1,0.614
0.11132,0.0,27.74,0.609
0.037380000000000004,0.0,5.19,0.515
0.32982,0.0,21.89,0.624
7.83932,0.0,18.1,0.655
0.09103,0.0,2.46,0.488
0.37578,0.0,10.59,0.489
9.18702,0.0,18.1,0.7
0.07875,45.0,3.44,0.43700000000000006
9.2323,0.0,18.1,0.631
9.39063,0.0,18.1,0.74
0.20608,22.0,5.86,0.431
6.288069999999999,0.0,18.1,0.74
0.24103000000000002,0.0,7.38,0.493
51.1358,0.0,18.1,0.597
0.80271,0.0,8.14,0.5379999999999999
0.02729,0.0,7.07,0.469
0.13642,0.0,10.59,0.489
0.05083,0.0,5.19,0.515
0.18836,0.0,6.91,0.44799999999999995
1.12658,0.0,19.58,0.871
0.537,0.0,6.2,0.504
0.07886,80.0,4.95,0.41100000000000003
0.009059999999999999,90.0,2.97,0.4
0.17899,0.0,9.69,0.585
0.11425,0.0,13.89,0.55
18.0846,0.0,18.1,0.679
0.62356,0.0,6.2,0.507
5.669980000000001,0.0,18.1,0.631
0.05425,0.0,4.05,0.51
15.1772,0.0,18.1,0.74
4.898219999999999,0.0,18.1,0.631
7.05042,0.0,18.1,0.614
19.6091,0.0,18.1,0.6709999999999999
0.07165,0.0,25.65,0.581
0.051879999999999996,0.0,4.49,0.449
0.04297,52.5,5.32,0.405
0.20745999999999998,0.0,27.74,0.609
0.6718,0.0,18.1,0.74
0.03551,25.0,4.86,0.426
0.55007,20.0,3.97,0.647
5.7081800000000005,0.0,18.1,0.532
0.33147,0.0,6.2,0.507
0.61154,20.0,3.97,0.647
0.19802,0.0,10.59,0.489
0.15936,0.0,6.91,0.44799999999999995
10.0623,0.0,18.1,0.584
1.51902,0.0,19.58,0.605
13.5222,0.0,18.1,0.631
